Comment,Topic (choose from the 'key ' worksheet and type topic class number):,Sentiment (type Pos/Neg/Neu): ,Annotator Notes:
"Solar panels on building rooftops, train stystem, electric charging stations, pedestrian bridges over road in the downtown area",6. Public utilities for energy/water/and waste management,Pos,
Cities that are not just knowledgeable on technology but are willing to learn more.,5. Community resilience/adaptability/and sustainability,Pos,
I think of a tech industry run city instead of local government run city. I think of the tech as detached from the local person's goals or experiences.,8. Smart building technologies and IoT applications,Neu,
Access to public information,2. Data governance and city data platforms and dashboards,Neu,
Low cost internet services,3. Wireless communications and broadband applications,Neu,
"make info easier to get and easier to report issues and then get updates on them.  expand the free wifi to all of the parks.  have QR codes located at locations like parks, within convention center and alamodome to report issues",2. Data governance and city data platforms and dashboards,Pos,
More devices that are able to help you get around quicker or even devices that get right to the source without having any trouble ,1. Transportation systems/vehicles and autonomy,Pos,
Becoming a online voting friendly city,10. Community well-being,Pos,
Our park system,5. Community resilience/adaptability/and sustainability,Neu,
City infrastructure ,6. Public utilities for energy/water/and waste management,Pos,
a resilient city is where residents are educated enough to be highly productive and healthy enough to take advantage of it.,9.  Education and workforce development,Neu,
Forward thinking initiatives like this to help the city attempt to keep up with Austin̥s corporate growth ,11. Other,Pos,Interesting character
Tourist city ,11. Other,Neu,
Better transportation alternatives. Environmental stuff. ,1. Transportation systems/vehicles and autonomy,Neu,Fits 2 or more categories
"More technologically advanced, ��greener�� options ",8. Smart building technologies and IoT applications,Neu,Interesting characters
"Perhaps having an affordable internet service for ALL San Antonio Residents, especially those areas that have been forgotten and keep being forgotten.",3. Wireless communications and broadband applications,Pos,
cities that have achieved something close to self sustaining for a service.,5. Community resilience/adaptability/and sustainability,Neu,
Better google map,3. Wireless communications and broadband applications,Neu,
economic redevelopment. Lots of small business with mom and pop operations,7. Agriculture and rural productivity and quality of life,Neu,
I love this city. I love it̥s history and culture. I hope it will invest in rail transportation and a bigger airport immediately. SATX and Austin are going to be as big as DC-Baltimore-Richmond in 5-10 years.,1. Transportation systems/vehicles and autonomy,Pos,
Increased communication and responsiveness,3. Wireless communications and broadband applications,Neu,
"Having the opportunity to remote work for all positions who's main job is over the computer. No point in coming into the office wasting resources and producing carbon emissions, which contradicts the climate change initiative. (Epi dept) ",11. Other,Pos,
